INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
2164	[1-2-16-4]	西洋棋·高奈利亚	100			Gacha/Gacha_girl0216		2
384	[1-3-8-4]	水着·朱诺	100			Gacha/Gacha_girl0308		7
444	[1-4-4-4]	女仆装·沐恩	100	1	Card/All/girl04_card04.png	Gacha/Gacha_girl0404		5
544	[1-5-4-4]	女仆装·苏小真	100			Gacha/Gacha_girl0504		6
674	[1-6-7-4]	战术装备·千姬	100			Gacha/Gacha_girl0607		2
6154	[1-6-15-4]	睡衣·千姬	100			Gacha/Gacha_girl0615		3
774	[1-7-7-4]	战术装备·艾琳	100			Gacha/Gacha_girl0707		2
874	[1-8-7-4]	战术装备·格兰妮	100			Gacha/Gacha_girl0807		2
8164	[1-8-16-4]	西洋棋·格兰妮	100			Gacha/Gacha_girl0816		2
944	[1-9-4-4]	女仆装·时无瑕	100			Gacha/Gacha_girl0904		3
9124	[1-9-12-4]	旗袍·时无瑕	100	1	Card/All/girl09_card12.png	Gacha/Gacha_girl0912		2
1044	[1-10-4-4]	女仆装·时无忧	100			Gacha/Gacha_girl1004		22
1074	[1-10-7-4]	战术装备·时无忧	100			Gacha/Gacha_girl1007		2
10124	[1-10-12-4]	旗袍·时无忧	100			Gacha/Gacha_girl1012		2
1284	[1-12-8-4]	水着·伊珂丝	100	1	Card/All/girl12_card08.png	Gacha/Gacha_girl1208		1
14144	[1-14-14-4]	机动套装·聂诗柔	100			Gacha/Gacha_girl1414		2
15144	[1-15-14-4]	机动套装·阿尼娅	100			Gacha/Gacha_girl1514		2
